INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
65	杂货商店	0	40	100	1	1	1	1	1	100000	60	20308062	1	-1	20308063	1	-1	20308072	1	-1	20308073	1	-1	20308082	1	-1	20308083	1	-1	20308092	1	-1	20308093	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
66	杂货商店	0	40	100	1	1	1	1	1	100000	60	20308102	1	-1	20308103	1	-1	20308112	1	-1	20308113	1	-1	20308122	1	-1	20308123	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
67	商店名称	0	40	100	1	1	1	1	1	100000	60	20308003	1	-1	20308004	1	-1	20308013	1	-1	20308014	1	-1	20308023	1	-1	20308024	1	-1	20308033	1	-1	20308034	1	-1	20308043	1	-1	20308044	1	-1	20308053	1	-1	20308054	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
68	商店名称	0	40	100	1	1	1	1	1	100000	60	20308063	1	-1	20308064	1	-1	20308073	1	-1	20308074	1	-1	20308083	1	-1	20308084	1	-1	20308093	1	-1	20308094	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
69	商店名称	0	40	100	1	1	1	1	1	100000	60	20308103	1	-1	20308104	1	-1	20308113	1	-1	20308114	1	-1	20308123	1	-1	20308124	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
70	商店名称	0	40	100	1	1	1	1	1	100000	60	10100001	1	-1	10101001	1	-1	10102001	1	-1	10103001	1	-1	10104001	1	-1	10105001	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
71	商店名称	0	40	100	1	1	1	1	1	100000	60	10110001	1	-1	10110002	1	-1	10110003	1	-1	10111001	1	-1	10111002	1	-1	10111003	1	-1	10112001	1	-1	10112002	1	-1	10112003	1	-1	10113001	1	-1	10113002	1	-1	10113003	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
72	商店名称	0	40	100	1	1	1	1	1	100000	60	10120001	1	-1	10121001	1	-1	10122001	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
73	商店名称	0	40	100	1	1	1	1	1	100000	60	10131001	1	-1	10131002	1	-1	10131003	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
74	商店名称	0	40	100	1	1	1	1	1	3600000	60	30509001	1	-1	30509002	1	-1	30509003	1	-1	30509003	-1	-1	30509004	-1	-1	30509005	-1	-1	30509006	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
75	商店名称	0	40	100	1	1	1	1	1	3600000	60	20308015	1	-1	20308016	1	-1	20308017	1	-1	20308018	1	-1	20308019	1	-1	20308020	1	-1	30300015	1	-1	30300016	1	-1	30300017	1	-1	30300018	-1	-1	30300019	-1	-1	30300020	-1	-1	30503011	-1	-1	30402012	-1	-1	30402014	-1	-1	30402016	-1	-1	30402018	-1	-1	30402020	-1	-1	30402021	-1	-1	30402022	1	-1	30402023	1	-1	30402024	1	-1	30402026	1	-1	30402028	1	-1	30402030	1	-1	30402032	1	-1	30402034	1	-1	30402036	1	-1	30402038	1	-1	30402040	1	-1	30402042	1	-1	30402044	1	-1	30402046	1	-1	30402048	1	-1	30402050	1	-1	30402052	1	-1	30402054	1	-1	30402056	1	-1	30402058	1	-1	30402060	1	-1	30402062	1	-1	30402064	1	-1	30402066	1	-1	30402068	1	-1	30402070	1	-1	30402072	1	-1	30402074	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
100	商店名称	0	40	100	1	1	1	1	1	100000	60	20307001	-1	-1	20307101	-1	-1	20307102	-1	-1	20307103	-1	-1	20307104	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1
