INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
1669	金玉满堂(加命中)	21	STD_IMPACT_021	1	142	142	90	1	0	0	1	0	0	0	0	0	0	40000	0	0	0	0	0	0	生效次数，无效值：-1	-1	目标技能集合ID, 无效值：-1	22	|命中修正，无效值：0	185	|会心修正率，无效值：0	0	|威力值修正，无效值: 	0	|威力%修正，无效值: 0	0	|消耗值修正，无效值: 8	0	|消耗%修正，无效值: 0	0	|效果或陷阱的时间值修正，无效值: 0	0	|效果或陷阱的时间%修正，无效值: 0	0	|冷却值修正，无效值: 8	0	|冷却%修正，无效值: 0	0	|聚气时间值修正，无效值: 0	0	|聚气时间%修正，无效值: 0	0	|引导时间值修正，无效值: 0	0	引导时间%修正，无效值: 0	0	
1670	金玉满堂(加命中)	21	STD_IMPACT_021	1	142	142	100	1	0	0	1	0	0	0	0	0	0	40000	0	0	0	0	0	0	生效次数，无效值：-1	-1	目标技能集合ID, 无效值：-1	22	|命中修正，无效值：0	200	|会心修正率，无效值：0	0	|威力值修正，无效值: 	0	|威力%修正，无效值: 0	0	|消耗值修正，无效值: 9	0	|消耗%修正，无效值: 0	0	|效果或陷阱的时间值修正，无效值: 0	0	|效果或陷阱的时间%修正，无效值: 0	0	|冷却值修正，无效值: 9	0	|冷却%修正，无效值: 0	0	|聚气时间值修正，无效值: 0	0	|聚气时间%修正，无效值: 0	0	|引导时间值修正，无效值: 0	0	引导时间%修正，无效值: 0	0	
1671	金玉满堂(加命中)	21	STD_IMPACT_021	1	142	142	110	1	0	0	1	0	0	0	0	0	0	40000	0	0	0	0	0	0	生效次数，无效值：-1	-1	目标技能集合ID, 无效值：-1	22	|命中修正，无效值：0	215	|会心修正率，无效值：0	0	|威力值修正，无效值: 	0	|威力%修正，无效值: 0	0	|消耗值修正，无效值: 10	0	|消耗%修正，无效值: 0	0	|效果或陷阱的时间值修正，无效值: 0	0	|效果或陷阱的时间%修正，无效值: 0	0	|冷却值修正，无效值: 10	0	|冷却%修正，无效值: 0	0	|聚气时间值修正，无效值: 0	0	|聚气时间%修正，无效值: 0	0	|引导时间值修正，无效值: 0	0	引导时间%修正，无效值: 0	0	
1672	金玉满堂(加命中)	21	STD_IMPACT_021	1	142	142	120	1	0	0	1	0	0	0	0	0	0	40000	0	0	0	0	0	0	生效次数，无效值：-1	-1	目标技能集合ID, 无效值：-1	22	|命中修正，无效值：0	230	|会心修正率，无效值：0	0	|威力值修正，无效值: 	0	|威力%修正，无效值: 0	0	|消耗值修正，无效值: 11	0	|消耗%修正，无效值: 0	0	|效果或陷阱的时间值修正，无效值: 0	0	|效果或陷阱的时间%修正，无效值: 0	0	|冷却值修正，无效值: 11	0	|冷却%修正，无效值: 0	0	|聚气时间值修正，无效值: 0	0	|聚气时间%修正，无效值: 0	0	|引导时间值修正，无效值: 0	0	引导时间%修正，无效值: 0	0	
1673	立地成佛(散功)	14	STD_IMPACT_014	1	143	21	120	-1	0	1	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	CanAction1标记	1	CanAction2标记	0	CanMove	1	Unbreakable	-1	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															无相截指-迟缓
1685	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	42	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1686	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	80	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1687	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	120	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1688	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	158	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1689	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	200	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1690	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	237	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1691	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	278	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1692	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	315	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1693	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	357	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1694	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	395	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1695	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	435	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1696	丹凤朝阳(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	473	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1697	白驹过隙(加速)	14	STD_IMPACT_014	1	144	144	120	1	0	0	1	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	-1	Unbreakable	-1	移动速度修正%	40	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															神行百变
1698	少泽剑(标记)	47	STD_IMPACT_047	1	145	145	10	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	10	|子效果数据索引	1710																											
1699	少泽剑(标记)	47	STD_IMPACT_048	1	145	145	20	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	12	|子效果数据索引	1711																											
1700	少泽剑(标记)	47	STD_IMPACT_049	1	145	145	30	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	14	|子效果数据索引	1712																											
1701	少泽剑(标记)	47	STD_IMPACT_050	1	145	145	40	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	16	|子效果数据索引	1713																											
1702	少泽剑(标记)	47	STD_IMPACT_051	1	145	145	50	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	18	|子效果数据索引	1714																											
1703	少泽剑(标记)	47	STD_IMPACT_052	1	145	145	60	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	20	|子效果数据索引	1715																											
1704	少泽剑(标记)	47	STD_IMPACT_053	1	145	145	70	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	22	|子效果数据索引	1716																											
1705	少泽剑(标记)	47	STD_IMPACT_054	1	145	145	80	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	24	|子效果数据索引	1717																											
1706	少泽剑(标记)	47	STD_IMPACT_055	1	145	145	90	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	26	|子效果数据索引	1718																											
1707	少泽剑(标记)	47	STD_IMPACT_056	1	145	145	100	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	28	|子效果数据索引	1719																											
1708	少泽剑(标记)	47	STD_IMPACT_057	1	145	145	110	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	30	|子效果数据索引	1720																											
1709	少泽剑(标记)	47	STD_IMPACT_058	1	145	145	120	-1	0	0	0	0	0	0	0	0	0	120000	0	0	0	0	0	0	影响的技能集合ID	23	|激发几率	32	|子效果数据索引	1721																											
1710	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	10	-1	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1711	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	20	-1	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1712	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	30	-1	0	0	0	0	0	0	0	0	0	1400	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1713	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	40	-1	0	0	0	0	0	0	0	0	0	1600	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1714	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	50	-1	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1715	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	60	-1	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1716	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	70	-1	0	0	0	0	0	0	0	0	0	2200	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1717	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	80	-1	0	0	0	0	0	0	0	0	0	2400	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1718	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	90	-1	0	0	0	0	0	0	0	0	0	2600	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1719	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	100	-1	0	0	0	0	0	0	0	0	0	2800	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1720	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	110	-1	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1721	少泽剑(眩晕)	14	STD_IMPACT_014	1	15	15	120	-1	0	0	0	0	0	0	0	0	0	3200	0	0	0	0	0	0	CanAction1标记	0	CanAction2标记	0	CanMove	0	Unbreakable	0	移动速度修正%	0	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															
1722	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	10	1	0	0	1	0	0	0	0	0	0	30000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	2																											
1723	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	20	1	0	0	1	0	0	0	0	0	0	31000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	2																											
1724	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	30	1	0	0	1	0	0	0	0	0	0	32000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	3																											
1725	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	40	1	0	0	1	0	0	0	0	0	0	33000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	3																											
1726	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	50	1	0	0	1	0	0	0	0	0	0	34000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	4																											
1727	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	60	1	0	0	1	0	0	0	0	0	0	35000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	4																											
1728	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	70	1	0	0	1	0	0	0	0	0	0	36000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	5																											
1729	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	80	1	0	0	1	0	0	0	0	0	0	37000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	5																											
1730	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	90	1	0	0	1	0	0	0	0	0	0	38000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	6																											
1731	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	100	1	0	0	1	0	0	0	0	0	0	39000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	6																											
1732	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	110	1	0	0	1	0	0	0	0	0	0	40000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	7																											
1733	商阳剑(会心加)	13	STD_IMPACT_013	1	58	58	120	1	0	0	1	0	0	0	0	0	0	41000	0	0	0	0	0	0	命中修正	0	闪避修正	0	会心修正	7																											
1734	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	35	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1735	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	51	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1736	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	68	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1737	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	84	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1738	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	101	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1739	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	117	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1740	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	134	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1741	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	150	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1742	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	167	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1743	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	183	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1744	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	200	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1745	少商剑(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	216	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1746	少商剑(僵硬)	14	STD_IMPACT_014	1	23	23	10	-1	0	1	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	CanAction1标记	-1	CanAction2标记	-1	CanMove	-1	Unbreakable	-1	移动速度修正%	-30	隐身级别修正	0	反隐级别修正	0	变身ID	-1	骑乘ID	-1															无相截指-迟缓
1747	白虹贯日	48	STD_IMPACT_048	1	147	147	10	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1759																															
1748	白虹贯日	48	STD_IMPACT_048	1	147	147	20	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1760																															
1749	白虹贯日	48	STD_IMPACT_048	1	147	147	30	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1761																															
1750	白虹贯日	48	STD_IMPACT_048	1	147	147	40	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1762																															
1751	白虹贯日	48	STD_IMPACT_048	1	147	147	50	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1763																															
1752	白虹贯日	48	STD_IMPACT_048	1	147	147	60	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1764																															
1753	白虹贯日	48	STD_IMPACT_048	1	147	147	70	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1765																															
1754	白虹贯日	48	STD_IMPACT_048	1	147	147	80	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1766																															
1755	白虹贯日	48	STD_IMPACT_048	1	147	147	90	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1767																															
1756	白虹贯日	48	STD_IMPACT_048	1	147	147	100	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1768																															
1757	白虹贯日	48	STD_IMPACT_048	1	147	147	110	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1769																															
1758	白虹贯日	48	STD_IMPACT_048	1	147	147	120	-1	0	0	0	0	0	0	0	0	0	5000	5000	0	0	0	0	0	子效果数据索引	1770																															
1759	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	48	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1760	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	90	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1761	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	136	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1762	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	179	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1763	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	226	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1764	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	269	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1765	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	315	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1766	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	357	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1767	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	405	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1768	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	447	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1769	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	493	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1770	白虹贯日(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	536	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1771	微服私访(解状态)	18	STD_IMPACT_018	0	14	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	驱散级别	120	驱散个数	1	驱散集合1	8	驱散集合2	9	驱散集合3	10	驱散集合4	-1	驱散集合5	-1	驱散集合6	-1	驱散集合7	-1	驱散集合8	-1													
1772	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	38	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1773	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	72	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1774	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	109	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1775	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	143	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1776	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	181	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1777	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	215	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1778	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	252	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1779	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	286	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1780	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	324	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1781	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	358	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1782	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	394	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
1783	万国来朝(加外攻)	3	STD_IMPACT_003	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理伤害	429	魔法伤害域	0	冰系伤害域	0	火系伤害域	0	电系伤害域	0	毒系伤害域	0																					加外攻
#																																																									
